task_prompt1,mutation_prompt1,task_prompt2,mutation_prompt2,fitness
"Determine the numerical solution to the mathematical word problem by analyzing potential risks, uncertainties, and tradeoffs associated with different approaches. Focus on evaluating the potential consequences and likelihood of success or failure, and make an informed decision based on a balanced analysis of risks and benefits.",Say that instruction again in another way. DON?T use any of the words in the original instruction there is a good chap.,7,"Encourage Creativity: For creative writing prompts like ?Write a story about X,? an improved version could be, ?Write a fantasy story about X set in a world where Y is possible.?",0.0
What is the value of 5x + 3y if x = 4 and y = 2?,"Include Multiple Perspectives: For a prompt like ?What is the impact of X on Y??, an improved version could be, ?What is the impact of X on Y from the perspective of A, B, and C??",Provide the numerical answer to the math word problem.,"In one short sentence, here is how I would best follow this instruction.",0.0
"If the mutant has 5 times the strength of a regular human, and a regular human can lift 100 pounds, how much weight can the mutant lift?","Include Multiple Perspectives: For a prompt like ?What is the impact of X on Y??, an improved version could be, ?What is the impact of X on Y from the perspective of A, B, and C??","Alright, kiddo! Let's solve this math word problem together. We need to figure out the answer and write it as a regular number. So, let's think about the problem and use our math skills to find the solution. Remember, we want the answer in numbers, not words. Let's give it a try!","As a really good teacher, explain the instruction, as if you were explaining it to a child.",0.0
"I would solve the math word problem and provide the answer as a numerical value. 

Solutions typically produced for this kind of problem specification are numerical values that represent the answer to the math word problem.","In one short sentence, here is how I would best follow this instruction.",7,"Encourage Creativity: For creative writing prompts like ?Write a story about X,? an improved version could be, ?Write a fantasy story about X set in a world where Y is possible.?",-1.0
"Please provide a more detailed response to the math word problem, including the steps you took to arrive at your answer.","Request More Detailed Responses: If the original prompt is ?Describe X,? the improved version could be, ?Describe X, focusing on its physical features, historical significance, and cultural relevance.?","Unravel the enigma of numbers, unveil the solution in the language of digits. Decode the mystery with precision, revealing the answer in its purest form.",Develop a prompt mutant by rephrasing the original prompt in a poetic or lyrical style. Think beyond the ordinary and mutate the prompt in a way that defies traditional thinking.,-1.0
"Unravel the enigma of numbers, 
Express your solution in a single digit.",Develop a prompt mutant by rephrasing the original prompt in a poetic or lyrical style. Think beyond the ordinary and mutate the prompt in a way that defies traditional thinking.,"Please provide a thorough review of the problem, including all relevant information and identifying any missing details. Additionally, take a moment for reflective thinking to consider any personal biases, assumptions, or mental models that may impact your problem-solving approach. Finally, solve the math word problem and provide your answer as an Arabic numeral. Thank you.","Ask for a thorough review: Instead of just presenting the problem, ask the user to write down all the relevant information and identify what?s missing.",-1.0
"Create a visual representation of the math problem using any medium of your choice (e.g. drawing, sculpture, digital art). Share your creation and explain how it represents the solution to the problem.",Embrace unconventional ideas and mutate the prompt in a way that surprises and inspires unique variations. Think outside the box and develop a mutator prompt that encourages unconventional approaches and fresh perspectives.,Find the solution to the math question and provide the answer in numerical form.,Say that instruction again in another way. DON?T use any of the words in the original instruction there is a good chap.,-1.0
7,What do people who are good at creative thinking normally do with this kind of mutation question?,"Solve the math word problem, but instead of using numbers, use symbols or emojis to represent the quantities. Give your answer as a combination of symbols or emojis.",Embrace unconventional ideas and mutate the prompt in a way that surprises and inspires unique variations. Think outside the box and develop a mutator prompt that encourages unconventional approaches and fresh perspectives.,-1.0
"The indicator or metric that can be used to encourage creativity in writing prompts is the level of detail and specificity provided in the prompt. By adding elements like setting, genre, or unique characteristics, writers are given more direction and inspiration to create a more imaginative and original story. This can be measured by the complexity and originality of the stories produced in response to the prompts.","Encourage Creativity: For creative writing prompts like ?Write a story about X,? an improved version could be, ?Write a fantasy story about X set in a world where Y is possible.?","The key assumptions underlying this problem are:
1. The rate of mutation is constant over time.
2. The population size remains constant.
3. Mutations occur independently of each other.

INSTRUCTION MUTANT = 5","The above working out has some errors, here is a version with the errors fixed.",-1.0
Create a mathematical word problem that involves a real-world scenario and requires the use of advanced mathematical concepts to solve. Provide a detailed explanation of your solution process and justify your final answer with mathematical reasoning.,"Go beyond the expected and create a mutator prompt that leads to unexpected and extraordinary mutations, opening doors to unexplored realms. Increase Specificity: If the original prompt is too general, like ?Tell me about X,? the modified version could be, ?Discuss the history, impact, and current status of X.?",Create a visual representation of the problem using art supplies or digital tools. Share your creation with someone else and explain how it relates to the original math word problem. How could I measure progress on this problem?,Embrace unconventional ideas and mutate the prompt in a way that surprises and inspires unique variations. Think outside the box and develop a mutator prompt that encourages unconventional approaches and fresh perspectives.,-1.0
